id,title,description,genre,release_year,poster_url,avg_rating,created_at,imdb_url,imdb_rating,votes,director,writers,actors,rating,runtime
24,The Big Lebowski,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Comedy,1998,"https://m.media-amazon.com/images/M/MV5BMTQ0NjUzMDMyOF5BMl5BanBnXkFtZTgwODA1OTU0MDE@._V1_QL75_UX190_CR0,1,190,281_.jpg",4.00,2025-12-14 15:27:11,http://www.imdb.com/title/tt0118715/?ref_=fn_al_tt_1,8.1,768K,Joel Coen,"Ethan Coen, Joel Coen","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, David Huddleston",R,1h 57min
25,Taxi Driver,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an u…",Crime,1976,"https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,4,190,281_.jpg",4.10,2025-12-14 15:27:11,http://www.imdb.com/title/tt0075314/?ref_=fn_al_tt_1,8.2,764K,Martin Scorsese,Paul Schrader,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks, Diahnne Abbott",R,1h 54min
26,12 Angry Men,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Drama,1957,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,6,190,281_.jpg",4.50,2025-12-14 15:27:11,http://www.imdb.com/title/tt0050083/?ref_=fn_al_tt_1,9.0,732K,Sidney Lumet,Reginald Rose,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, E.G. Marshall",Approved,1h 36min
27,Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Sci-Fi,1982,"https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,1,190,281_.jpg",4.00,2025-12-14 15:27:11,http://www.imdb.com/title/tt0083658/?ref_=fn_al_tt_1,8.1,724K,Ridley Scott,"Hampton Fancher, David Webb Peoples, Philip K. Dick","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh",R,1h 57min
28,Indiana Jones and the Last Crusade,"In 1938, after his father Professor Henry Jones, Sr.",Adventure,1989,"https://m.media-amazon.com/images/M/MV5BMjNkMzc2N2QtNjVlNS00ZTk5LTg0MTgtODY2MDAwNTMwZjBjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UY281_CR1,0,190,281_.jpg",4.10,2025-12-14 15:27:11,http://www.imdb.com/title/tt0097576/?ref_=fn_al_tt_1,8.2,719K,Steven Spielberg,"Jeffrey Boam, George Lucas, Menno Meyjes","Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott, John Rhys-Davies",PG-13,2h 7min
29,Full Metal Jacket,A pragmatic U.S.,Drama,1987,"https://m.media-amazon.com/images/M/MV5BNzkxODk0NjEtYjc4Mi00ZDI0LTgyYjEtYzc1NDkxY2YzYTgyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg",4.20,2025-12-14 15:27:12,http://www.imdb.com/title/tt0093058/?ref_=fn_al_tt_1,8.3,703K,Stanley Kubrick,"Stanley Kubrick, Michael Herr, Gustav Hasford","Matthew Modine, R. Lee Ermey, Vincent DOnofrio, Adam Baldwin, Dorian Harewood",R,1h 56min
30,Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",Sci-Fi,1986,"https://m.media-amazon.com/images/M/MV5BZGU2OGY5ZTYtMWNhYy00NjZiLWI0NjUtZmNhY2JhNDRmODU3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,7,190,281_.jpg",4.20,2025-12-14 15:27:12,http://www.imdb.com/title/tt0090605/?ref_=fn_al_tt_1,8.3,680K,James Cameron,"James Cameron, David Giler, Walter Hill","Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser, Lance Henriksen",R,2h 17min
31,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama,1996,"https://m.media-amazon.com/images/M/MV5BMzA5Zjc3ZTMtMmU5YS00YTMwLWI4MWUtYTU0YTVmNjVmODZhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,0,190,281_.jpg",4.00,2025-12-14 15:27:12,http://www.imdb.com/title/tt0117951/?ref_=fn_al_tt_1,8.1,658K,Danny Boyle,"Irvine Welsh, John Hodge","Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle",R,1h 33min
32,Fargo,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Crime,1996,"https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR0,0,190,281_.jpg",4.00,2025-12-14 15:27:12,http://www.imdb.com/title/tt0116282/?ref_=fn_al_tt_1,8.1,645K,Joel Coen,"Ethan Coen, Joel Coen","William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare, Kristin Rudrüd",R,1h 38min
33,Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Horror,1960,"https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg",4.20,2025-12-14 15:27:12,http://www.imdb.com/title/tt0054215/?ref_=fn_al_tt_1,8.5,633K,Alfred Hitchcock,"Joseph Stefano, Robert Bloch","Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam",R,1h 49min
